epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.455,1.45455,2.80517,1.22844,0.06357,0.7873,0.39439,0.18907,1.68444,2.64693,1.29057,0.0003334,0.0003334,0.0003334
2,591.93,1.36709,1.51598,1.12493,0.63926,0.35731,0.50836,0.25949,1.69541,2.17068,1.30848,0.000676704,0.000676704,0.000676704
3,899.433,1.34183,1.34819,1.09736,0.56561,0.57753,0.58309,0.29454,1.72758,1.6709,1.3519,0.00101308,0.00101308,0.00101308
4,1214.48,1.30224,1.25053,1.10083,0.5658,0.57777,0.5799,0.27908,1.7119,1.68634,1.35207,0.00134252,0.00134252,0.00134252
5,1510.57,1.2926,1.20727,1.11073,0.61311,0.61045,0.62618,0.30508,1.77748,1.61124,1.4256,0.00160099,0.00160099,0.00160099
6,1803.58,1.32972,1.18503,1.11427,0.53427,0.67188,0.62359,0.30791,1.72358,1.52593,1.39401,0.00158448,0.00158448,0.00158448
7,2091.11,1.27224,1.14277,1.09259,0.50336,0.54339,0.50091,0.21627,1.95056,1.70613,1.52002,0.00156798,0.00156798,0.00156798
8,2380.42,1.23668,1.10664,1.09874,0.62959,0.66408,0.66983,0.34326,1.6708,1.38119,1.35648,0.00155148,0.00155148,0.00155148
9,2672.65,1.26796,1.11111,1.09664,0.6084,0.7121,0.69164,0.34304,1.67078,1.25292,1.3609,0.00153497,0.00153497,0.00153497
10,2969.44,1.26632,1.09151,1.09777,0.63505,0.7371,0.72095,0.36937,1.60814,1.20825,1.29094,0.00151847,0.00151847,0.00151847
11,3231.48,1.22221,1.05108,1.07651,0.66581,0.70917,0.70051,0.35697,1.68859,1.212,1.38774,0.00150197,0.00150197,0.00150197
12,3535.96,1.17949,1.00104,1.05077,0.70185,0.68471,0.74309,0.36379,1.68949,1.20726,1.3335,0.00148546,0.00148546,0.00148546
13,3824.08,1.19415,0.98241,1.06934,0.61775,0.71155,0.69253,0.34099,1.62879,1.21432,1.33418,0.00146896,0.00146896,0.00146896
14,4117.45,1.18123,0.99014,1.04234,0.63643,0.72826,0.72292,0.37387,1.58671,1.16165,1.2956,0.00145246,0.00145246,0.00145246
15,4412.57,1.19176,0.99493,1.06016,0.66084,0.74804,0.75926,0.39479,1.61939,1.09173,1.30387,0.00143595,0.00143595,0.00143595
16,4718.73,1.17432,0.97278,1.05385,0.69563,0.73292,0.75795,0.41497,1.50058,1.17944,1.23511,0.00141945,0.00141945,0.00141945
17,5018.12,1.19063,0.96175,1.05036,0.65185,0.7537,0.74637,0.3941,1.57018,1.10183,1.26218,0.00140295,0.00140295,0.00140295
18,5308.89,1.1754,0.93588,1.05311,0.66311,0.73221,0.73274,0.37024,1.64323,1.17936,1.31747,0.00138644,0.00138644,0.00138644
19,5601.21,1.19932,0.93653,1.05443,0.68103,0.73238,0.75262,0.39372,1.58353,1.156,1.28253,0.00136994,0.00136994,0.00136994
20,5860.28,1.16532,0.91446,1.05689,0.67846,0.76989,0.75663,0.4067,1.57291,1.05726,1.26448,0.00135344,0.00135344,0.00135344
21,6156.33,1.16072,0.90496,1.03978,0.68531,0.72813,0.74342,0.36853,1.69226,1.13267,1.41583,0.00133693,0.00133693,0.00133693
22,6464.86,1.14805,0.89601,1.04597,0.69235,0.74488,0.7601,0.39554,1.57325,1.14372,1.32044,0.00132043,0.00132043,0.00132043
23,6762.6,1.16656,0.89922,1.03922,0.68354,0.741,0.75458,0.38249,1.56082,1.0561,1.31632,0.00130393,0.00130393,0.00130393
24,7055.16,1.1544,0.87854,1.0506,0.68707,0.71063,0.75609,0.3875,1.62093,1.07232,1.32187,0.00128742,0.00128742,0.00128742
25,7347.2,1.12839,0.86281,1.03757,0.69275,0.73903,0.75479,0.38093,1.6307,1.09008,1.3483,0.00127092,0.00127092,0.00127092
26,7644.04,1.11796,0.85329,1.03405,0.67314,0.69016,0.7048,0.37172,1.57731,1.14348,1.30202,0.00125442,0.00125442,0.00125442
27,7939.03,1.09534,0.8183,1.02147,0.6854,0.75379,0.76249,0.39809,1.58171,1.02908,1.31273,0.00123791,0.00123791,0.00123791
28,8240.97,1.12642,0.82986,1.02533,0.70365,0.73616,0.75683,0.38658,1.64548,1.0575,1.37264,0.00122141,0.00122141,0.00122141
29,8495.56,1.09212,0.83783,1.02338,0.67321,0.70744,0.70871,0.35047,1.64541,1.16234,1.38091,0.00120491,0.00120491,0.00120491
30,8788.17,1.10754,0.82691,1.03075,0.68963,0.77383,0.77542,0.39852,1.59414,1.01568,1.32156,0.0011884,0.0011884,0.0011884
31,9082.82,1.09197,0.81643,1.02806,0.69544,0.74896,0.78207,0.41733,1.53714,1.04523,1.26332,0.0011719,0.0011719,0.0011719
32,9375.79,1.08843,0.83169,1.01805,0.6934,0.76374,0.76969,0.41305,1.51188,1.08034,1.25462,0.0011554,0.0011554,0.0011554
33,9670.25,1.08484,0.81581,1.02034,0.68717,0.75529,0.77459,0.39145,1.65804,1.02737,1.37191,0.00113889,0.00113889,0.00113889
34,9963.52,1.09496,0.80923,1.02352,0.67959,0.78363,0.79175,0.40995,1.60764,0.99417,1.33779,0.00112239,0.00112239,0.00112239
35,10252.4,1.07025,0.78315,1.01256,0.73062,0.71997,0.77225,0.38148,1.65953,1.03832,1.4039,0.00110589,0.00110589,0.00110589
36,10544.2,1.0918,0.77936,1.02572,0.74086,0.75432,0.80932,0.41719,1.59952,1.00182,1.34317,0.00108938,0.00108938,0.00108938
37,10830.5,1.06465,0.75327,1.01545,0.7348,0.77543,0.78647,0.41404,1.55216,0.9813,1.31473,0.00107288,0.00107288,0.00107288
38,11091.9,1.0973,0.74766,1.02307,0.75666,0.76715,0.79367,0.44202,1.49621,1.00404,1.25562,0.00105638,0.00105638,0.00105638
39,11385,1.09439,0.76011,1.01172,0.74695,0.73817,0.79611,0.42276,1.58083,0.96599,1.3248,0.00103987,0.00103987,0.00103987
40,11681.8,1.06905,0.75215,1.01378,0.71817,0.76603,0.79166,0.41644,1.5841,0.95057,1.32241,0.00102337,0.00102337,0.00102337
41,11975.4,1.0634,0.73659,1.00783,0.68475,0.77295,0.76443,0.38543,1.67187,0.99284,1.39046,0.00100687,0.00100687,0.00100687
42,12275.1,1.07086,0.73091,1.01751,0.68435,0.77909,0.78446,0.40669,1.61619,0.97541,1.38189,0.000990365,0.000990365,0.000990365
43,12582.5,1.03591,0.70577,1.00219,0.71491,0.74732,0.74284,0.39179,1.52816,1.09675,1.28898,0.000973861,0.000973861,0.000973861
44,12896,1.0507,0.70989,1.00147,0.7006,0.75656,0.7726,0.39103,1.62528,0.99255,1.38403,0.000957358,0.000957358,0.000957358
45,13207.1,1.03525,0.70505,0.99547,0.69952,0.75922,0.77414,0.41384,1.55077,1.0044,1.3136,0.000940855,0.000940855,0.000940855
46,13487,1.03518,0.69653,1.00815,0.71381,0.78371,0.76752,0.41598,1.53904,0.96141,1.3112,0.000924352,0.000924352,0.000924352
47,13795.4,1.02225,0.69218,0.99492,0.70629,0.73832,0.77123,0.3995,1.59457,0.9842,1.37151,0.000907848,0.000907848,0.000907848
48,14102.5,1.03151,0.7041,1.00194,0.72525,0.74655,0.77759,0.40024,1.61339,0.97714,1.3815,0.000891345,0.000891345,0.000891345
49,14412.5,1.03182,0.70054,0.99563,0.70121,0.68811,0.71699,0.36494,1.61985,1.14679,1.3909,0.000874842,0.000874842,0.000874842
50,14719.1,1.03181,0.67889,1.00004,0.66434,0.74826,0.72307,0.36798,1.61369,1.08688,1.35496,0.000858338,0.000858338,0.000858338
51,15009,1.02054,0.68277,0.99991,0.6849,0.72073,0.71721,0.38217,1.52996,1.24002,1.2948,0.000841835,0.000841835,0.000841835
52,15302.9,1.01835,0.69128,0.99545,0.70743,0.73682,0.72983,0.37882,1.59033,1.08162,1.33984,0.000825332,0.000825332,0.000825332
53,15597.1,1.00554,0.68392,0.9939,0.7117,0.75062,0.77817,0.4027,1.61529,0.96998,1.37248,0.000808828,0.000808828,0.000808828
54,15886.2,1.02035,0.68605,0.98961,0.73602,0.72694,0.75382,0.40201,1.53421,1.02418,1.32567,0.000792325,0.000792325,0.000792325
55,16151.2,1.02798,0.67011,0.99516,0.70839,0.76086,0.7945,0.42707,1.55294,0.94517,1.31915,0.000775822,0.000775822,0.000775822
56,16447.6,1.0212,0.66802,0.99886,0.67824,0.75663,0.74537,0.40211,1.53701,1.0458,1.29516,0.000759318,0.000759318,0.000759318
57,16738.5,1.0341,0.66868,0.9948,0.75272,0.73888,0.76868,0.40002,1.5933,1.06202,1.35675,0.000742815,0.000742815,0.000742815
58,17034.1,1.0087,0.64618,0.9852,0.74396,0.72968,0.75363,0.37896,1.65626,1.03755,1.40954,0.000726312,0.000726312,0.000726312
59,17325.8,1.03829,0.6583,0.99738,0.71689,0.73145,0.73965,0.39782,1.57986,1.04106,1.37332,0.000709809,0.000709809,0.000709809
60,17617.6,1.01643,0.6379,0.99245,0.73941,0.74858,0.78505,0.42326,1.54457,0.94662,1.32031,0.000693305,0.000693305,0.000693305
61,17924.2,1.00602,0.64253,0.98121,0.73863,0.72096,0.75854,0.38782,1.62714,1.04783,1.39442,0.000676802,0.000676802,0.000676802
62,18218.6,0.97889,0.61207,0.98353,0.72849,0.73872,0.76542,0.41327,1.56083,0.99014,1.34706,0.000660299,0.000660299,0.000660299
63,18524.9,0.99526,0.62037,0.98882,0.70986,0.78203,0.77391,0.41343,1.55549,0.98976,1.33022,0.000643795,0.000643795,0.000643795
64,18799.9,0.97538,0.59357,0.96872,0.66789,0.76977,0.75149,0.39368,1.5856,1.06299,1.35987,0.000627292,0.000627292,0.000627292
65,19104.6,0.96892,0.60339,0.96672,0.72613,0.72076,0.74414,0.39686,1.56043,1.08475,1.33414,0.000610789,0.000610789,0.000610789
66,19401.8,0.9727,0.61783,0.98097,0.70939,0.77035,0.77128,0.40382,1.62234,0.98239,1.36684,0.000594286,0.000594286,0.000594286
67,19705.4,0.98183,0.60595,0.98063,0.73847,0.72886,0.74585,0.38816,1.61565,1.03912,1.38804,0.000577782,0.000577782,0.000577782
68,20015.7,0.96576,0.6029,0.97326,0.70548,0.76988,0.74501,0.38426,1.58208,1.06119,1.3808,0.000561279,0.000561279,0.000561279
69,20315.5,0.96344,0.59547,0.97401,0.6987,0.76454,0.75222,0.40663,1.52755,1.06272,1.31954,0.000544776,0.000544776,0.000544776
70,20617.3,0.93881,0.58519,0.96411,0.72951,0.71043,0.74811,0.39962,1.55188,1.03273,1.32318,0.000528272,0.000528272,0.000528272
71,20920.5,0.95463,0.59254,0.97396,0.66812,0.77106,0.73705,0.38678,1.56496,1.0657,1.34165,0.000511769,0.000511769,0.000511769
72,21169.7,0.97946,0.60692,0.96927,0.72102,0.73538,0.74231,0.38945,1.58864,1.01123,1.38321,0.000495266,0.000495266,0.000495266
