epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3406,1.53669,3.17364,1.19499,0.11107,0.59225,0.28783,0.12431,1.7974,2.87088,1.24089,0.0003334,0.0003334,0.0003334
2,53.1335,1.47757,1.81743,1.07031,0.54086,0.45409,0.44222,0.22216,1.71589,2.21246,1.17961,0.000676704,0.000676704,0.000676704
3,79.0576,1.4772,1.44011,1.04787,0.56364,0.61027,0.58093,0.26812,1.81706,1.59514,1.27349,0.00101308,0.00101308,0.00101308
4,104.86,1.37972,1.24881,1.04488,0.57373,0.5865,0.57145,0.26321,1.75643,1.65333,1.30382,0.00134252,0.00134252,0.00134252
5,130.541,1.33528,1.17947,1.03577,0.56754,0.64504,0.58548,0.27219,1.77247,1.38187,1.26862,0.00160099,0.00160099,0.00160099
6,156.387,1.35278,1.14958,1.03803,0.5871,0.68049,0.61483,0.2902,1.7526,1.35698,1.27651,0.00158448,0.00158448,0.00158448
7,182.736,1.30666,1.10416,1.02663,0.62022,0.6239,0.64439,0.32307,1.66771,1.4094,1.25932,0.00156798,0.00156798,0.00156798
8,208.545,1.27242,1.07893,1.03075,0.59392,0.65863,0.6401,0.31115,1.73935,1.27097,1.28824,0.00155148,0.00155148,0.00155148
9,234.287,1.30387,1.07889,1.03352,0.6245,0.63156,0.62845,0.32123,1.64581,1.27382,1.22354,0.00153497,0.00153497,0.00153497
10,260.197,1.27892,1.05144,1.03263,0.60188,0.6823,0.68546,0.35217,1.62068,1.25917,1.21753,0.00151847,0.00151847,0.00151847
11,286.066,1.25147,1.0275,1.0131,0.64514,0.71775,0.71312,0.35839,1.68439,1.14469,1.23457,0.00150197,0.00150197,0.00150197
12,311.888,1.2088,0.98824,0.99845,0.64113,0.70418,0.71491,0.35034,1.68105,1.15276,1.22118,0.00148546,0.00148546,0.00148546
13,337.629,1.24249,0.97436,1.01296,0.63637,0.65242,0.64914,0.32879,1.65482,1.25857,1.24603,0.00146896,0.00146896,0.00146896
14,363.965,1.21328,0.99365,0.98883,0.68099,0.69025,0.71529,0.3755,1.62707,1.07715,1.21782,0.00145246,0.00145246,0.00145246
15,389.813,1.22706,0.97275,1.00321,0.71831,0.67197,0.75457,0.38203,1.63501,1.11131,1.19908,0.00143595,0.00143595,0.00143595
16,415.779,1.21557,0.96631,1.00455,0.67091,0.70223,0.71358,0.38113,1.53198,1.13766,1.1616,0.00141945,0.00141945,0.00141945
17,441.74,1.23146,0.96956,1.00315,0.67806,0.71107,0.74865,0.39989,1.54734,1.04325,1.17448,0.00140295,0.00140295,0.00140295
18,467.557,1.22959,0.96075,1.00619,0.67224,0.73022,0.74213,0.38834,1.5916,1.02854,1.21484,0.00138644,0.00138644,0.00138644
19,493.398,1.21881,0.93412,0.99285,0.69483,0.73313,0.7764,0.40451,1.57299,1.05506,1.19612,0.00136994,0.00136994,0.00136994
20,519.119,1.18768,0.93273,0.99845,0.68583,0.72983,0.73899,0.38809,1.58425,1.04856,1.20864,0.00135344,0.00135344,0.00135344
21,545.521,1.19753,0.91878,0.99155,0.67639,0.68361,0.72561,0.36112,1.63079,1.11988,1.23259,0.00133693,0.00133693,0.00133693
22,571.349,1.18182,0.91779,0.99475,0.72759,0.66877,0.71021,0.37236,1.57147,1.18937,1.19456,0.00132043,0.00132043,0.00132043
23,597.161,1.19451,0.91829,0.98756,0.62947,0.73672,0.71739,0.37578,1.56712,1.04342,1.20141,0.00130393,0.00130393,0.00130393
24,622.966,1.20187,0.90904,1.00008,0.71772,0.69726,0.76048,0.41211,1.52484,1.02409,1.17702,0.00128742,0.00128742,0.00128742
25,648.821,1.16008,0.91328,0.98989,0.74322,0.69599,0.77427,0.39593,1.64,0.98348,1.23797,0.00127092,0.00127092,0.00127092
